,business_id,stars,positive_count,negative_count,sentiment_score_%,keyword,group
34,DbYZpG1O8Qknfk_IqXtHxg,4.0,1,0,100.0,food,food
35,DcRfabRzYkddMEUFyPMBgw,3.0,4,0,100.0,food,food
36,E6HHiJMCpTkjOsSly3kzeA,4.5,3,0,100.0,food,food
37,EZc2myE2mYk2h9JK9qu8gw,4.5,246,5,98.00796812749005,food,food
38,E_ac8Q20OJD9L8cafCBKaQ,4.0,90,11,89.10891089108911,food,food
39,EaTbY8HFwwF7i3SjVbHGYw,4.0,34,1,97.14285714285714,food,food
40,EoLzj1yciIjEZS9ZEJe_kQ,3.0,22,0,100.0,food,food
41,FpNhzu3w0XgyedhOLDuK8g,4.5,93,1,98.93617021276596,food,food
42,GBD-YjcOD1nG0wv4L0Lvfg,5.0,9,0,100.0,food,food
43,H-1qpp_77KggOAr9htUrEw,4.0,117,11,91.40625,food,food
44,H4Zf42Q3I8JyQ-V5l4dJrg,3.5,91,6,93.81443298969072,food,food
45,HJ_rOClY2RPrdervYopKmQ,4.0,18,0,100.0,food,food
46,Hl_vXTiYLozWo7T9Cq17vw,5.0,9,0,100.0,food,food
47,IQFb8aeU7QW-BxpFhGMnlg,4.0,10,0,100.0,food,food
48,IZZ7J14VnJGyUqYH1tgT6w,4.5,33,0,100.0,food,food
49,IljCDlZnTftfZEruqa4sRQ,4.0,2,0,100.0,food,food
50,KSYONgGtrK0nKXfroB-bwg,4.5,189,6,96.92307692307692,food,food
51,L7-PPe0fj-6U7qq31vjWnQ,4.5,41,0,100.0,food,food
52,L9QTAucz_in5f-ufCrvb1Q,3.5,14,1,93.33333333333331,food,food
53,LIqjZ2fGRbjjMy0ezyuKSQ,3.5,4,0,100.0,food,food
54,LtxG9DTXCFpteVkD4SGBlw,4.0,0,1,0.0,food,food
55,LuPK46HMxRYEVTXVbBCR1g,4.0,141,6,95.91836734693878,food,food
56,M2i4sAuljONUy-BSBonkzg,5.0,0,0,,food,food
57,MAIfD4kJDCydgoD1l2b_vw,4.0,4,2,66.66666666666667,food,food
58,OCW1gs6Rjn90_x5EV0PuaA,4.5,2,0,100.0,food,food
59,OrU9wTeHJSLMwyGqYg4FAA,4.0,116,8,93.5483870967742,food,food
60,POSwCH5XrPTMRILJaNAjAQ,5.0,0,0,,food,food
61,PPcz-0UtIJ8O7xDT551y2g,4.5,41,1,97.61904761904762,food,food
62,PgtqA056auCp5EbcZMbXPQ,3.5,89,6,93.6842105263158,food,food
63,QBNATcq7Stx9LxcSq16W7w,4.5,0,0,,food,food
64,QLHgjBHBoeIUoEvIPvjHnw,4.0,61,5,92.42424242424242,food,food
65,R93mEcQ1pjq7q3LzShi3ow,5.0,15,1,93.75,food,food
66,RNzhLU8zy1L5dBkjRK4xEA,3.5,61,3,95.3125,food,food
67,RzgQioExrGZDkY3vNuziOQ,4.0,0,0,,food,food
68,S8saWaZlToeNoloR2fMrAQ,4.5,1,0,100.0,food,food
69,SZU9c8V2GuREDN5KgyHFJw,4.0,333,29,91.98895027624307,food,food
70,SeneXbKmhHhPtzyTDPDnvA,4.0,5,1,83.33333333333333,food,food
71,Sp4HOjXy-LYV_4yy10L3jg,4.5,15,0,100.0,food,food
72,Ss6f5v_t5Vddiaz4ZOxL0g,4.0,149,10,93.71069182389935,food,food
73,U3grYFIeu6RgAAQgdriHww,4.0,453,27,94.375,food,food
74,UA3HxLprLSOO9J6l1iR2Cg,3.5,96,8,92.3076923076923,food,food
75,UBK6zb5-XUETfVzYkRTj1Q,4.5,2,0,100.0,food,food
76,USVks6B2Xkf0WLmLIiXqMA,3.5,89,7,92.70833333333331,food,food
77,V0RzUzlEUc279ZQ6eJ5nzw,2.0,0,0,,food,food
78,VJKpVv_l1g943WK6fxwZKQ,3.5,2,0,100.0,food,food
79,VfH9vj-kkAiAwvKYCKzQ0g,3.0,12,4,75.0,food,food
80,Vg0oTgDyRwi73D5zRywrlg,4.0,0,0,100.0,food,food
81,Y0izXh4Dv1_YU68tn43Xiw,4.5,24,0,100.0,food,food
82,Y57sylYCgq2VQJuBCnjPfA,4.0,92,7,92.92929292929291,food,food
83,YiSr-W5BBX6uXnhWPxk82Q,4.0,56,7,88.88888888888889,food,food
84,ZKi4F9BlA46rLvLyeIE3VA,3.5,37,1,97.36842105263158,food,food
85,_P-0kP5DboEd5p0OqDorFA,4.5,2,0,100.0,food,food
86,_dNk5IpkVVyN2nWMXTA2eA,4.5,0,0,,food,food
87,apmw_lkLdwWbeYiI9ysdJg,4.5,23,0,100.0,food,food
88,b5hxsRw76UUXcotxlCipuQ,3.5,134,5,96.40287769784172,food,food
