"","stars","word","n"
"873","4","mushroom",5
"874","4","nom",5
"875","4","orang",5
"876","4","organ",5
"877","4","origin",5
"878","4","photo",5
"879","4","play",5
"880","4","plenti",5
"881","4","print",5
"882","4","rate",5
"883","4","regular",5
"884","4","rest",5
"885","4","rich",5
"886","4","ridicul",5
"887","4","rockefel",5
"888","4","run",5
"889","4","salsa",5
"890","4","sangria",5
"891","4","shellfish",5
"892","4","size",5
"893","4","sound",5
"894","4","st",5
"895","4","strong",5
"896","4","sun",5
"897","4","superb",5
"898","4","talk",5
"899","4","tender",5
"900","4","terrif",5
"901","4","test",5
"902","4","ton",5
"903","4","vegetarian",5
"904","4","waitress",5
"905","4","wedg",5
"906","4","wineri",5
"907","4","word",5
"908","4.5","answer",5
"909","4.5","bad",5
"910","4.5","bite",5
"911","4.5","bouchon",5
"912","4.5","brunch",5
"913","4.5","chef",5
"914","4.5","crab",5
"915","4.5","crowd",5
"916","4.5","cup",5
"917","4.5","daili",5
"918","4.5","de",5
"919","4.5","dine",5
"920","4.5","except",5
"921","4.5","funk",5
"922","4.5","guy",5
"923","4.5","hous",5
"924","4.5","ice",5
"925","4.5","justin",5
"926","4.5","lamb",5
"927","4.5","margarita",5
"928","4.5","pinot",5
"929","4.5","pizza",5
"930","4.5","pork",5
"931","4.5","portion",5
"932","4.5","regret",5
"933","4.5","relax",5
"934","4.5","saturday",5
"935","4.5","shop",5
"936","4.5","slice",5
"937","4.5","spend",5
"938","4.5","sport",5
"939","4.5","strong",5
"940","4.5","style",5
"941","4.5","surpris",5
"942","4.5","terribl",5
"943","4.5","tini",5
"944","4.5","top",5
"945","4.5","total",5
"946","4.5","upsid",5
"947","4.5","valet",5
"948","4.5","water",5
"949","4.5","white",5
"950","4.5","wrong",5
"951","4.5","zone",5
"952","5","atmospher",5
"953","5","excel",5
"954","5","fun",5
"955","5","italian",5
"956","5","pm",5
"957","5","servic",5
"958","5","special",5
"959","5","town",5
"960","2.5","food",4
"961","2.5","view",4
"962","2.5","wait",4
"963","3","bring",4
"964","3","market",4
"965","3","public",4
"966","3.5","00",4
"967","3.5","10",4
"968","3.5","app",4
"969","3.5","authent",4
"970","3.5","bartend",4
"971","3.5","belli",4
"972","3.5","bite",4
"973","3.5","bloodi",4
"974","3.5","bottl",4
"975","3.5","chef",4
"976","3.5","chip",4
"977","3.5","codi",4
"978","3.5","complet",4
"979","3.5","cook",4
"980","3.5","corn",4
"981","3.5","cream",4
"982","3.5","cup",4
"983","3.5","cute",4
"984","3.5","dessert",4
"985","3.5","diner",4
"986","3.5","dog",4
"987","3.5","egg",4
"988","3.5","fanci",4
"989","3.5","finish",4
"990","3.5","fish",4
"991","3.5","found",4
"992","3.5","free",4
"993","3.5","fruit",4
"994","3.5","fun",4
"995","3.5","glass",4
"996","3.5","hand",4
"997","3.5","hang",4
"998","3.5","heat",4
"999","3.5","home",4
"1000","3.5","homemad",4
"1001","3.5","honey",4
"1002","3.5","hous",4
"1003","3.5","ingredi",4
"1004","3.5","juic",4
"1005","3.5","kid",4
"1006","3.5","late",4
"1007","3.5","lemon",4
"1008","3.5","linguin",4
"1009","3.5","lot",4
"1010","3.5","loud",4
"1011","3.5","monday",4
"1012","3.5","pick",4
"1013","3.5","quesadilla",4
"1014","3.5","raw",4
"1015","3.5","relax",4
"1016","3.5","roast",4
"1017","3.5","rude",4
"1018","3.5","salti",4
"1019","3.5","scallop",4
"1020","3.5","scrambl",4
"1021","3.5","season",4
"1022","3.5","stay",4
"1023","3.5","surpris",4
"1024","3.5","tap",4
"1025","3.5","tomato",4
"1026","3.5","tortilla",4
"1027","3.5","truffl",4
"1028","3.5","union",4
"1029","3.5","vibe",4
"1030","4","7pm",4
"1031","4","9pm",4
"1032","4","accept",4
"1033","4","addit",4
"1034","4","ador",4
"1035","4","air",4
"1036","4","ale",4
"1037","4","allow",4
"1038","4","amount",4
"1039","4","anymor",4
"1040","4","appar",4
"1041","4","arch",4
"1042","4","arriv",4
"1043","4","artichok",4
"1044","4","bewar",4
"1045","4","bill",4
"1046","4","birthday",4
"1047","4","blacken",4
"1048","4","blend",4
"1049","4","block",4
"1050","4","boil",4
"1051","4","booth",4
"1052","4","boy",4
"1053","4","brava",4
"1054","4","breez",4
"1055","4","bubbl",4
"1056","4","caesar",4
"1057","4","caper",4
"1058","4","cevich",4
"1059","4","chile",4
"1060","4","chili",4
"1061","4","chipotl",4
"1062","4","choic",4
"1063","4","chowdah",4
"1064","4","coast",4
"1065","4","corn",4
"1066","4","courtyard",4
"1067","4","cover",4
"1068","4","crazi",4
"1069","4","crispi",4
